# displayed text	spelling source	upstream lines	upstream codes	exact observed Zipf or empty	admission policy
AI	inkflow-maintained			4.23	preserve-observation
API	rime-ice-en-ext	1712	API	3.68	product-policy-4.0
CLI	rime-ice-en-ext	1822	CLI	2.84	product-policy-4.0
SDK	rime-ice-en-ext	1001	SDK	2.85	product-policy-4.0
IDE	rime-ice-en-ext	2431	IDE	3.14	product-policy-4.0
GUI	rime-ice-en-ext	1340	GUI	3.29	product-policy-4.0
CPU	rime-ice-en-ext	332	CPU	3.72	product-policy-4.0
GPU	rime-ice-en-ext	335	GPU	3.22	product-policy-4.0
RAM	rime-ice-en-ext	1474	RAM	4.19	preserve-observation
SSD	rime-ice-en-ext	329	SSD	3.21	product-policy-4.0
USB	rime-ice-en-ext	1039	USB	3.98	product-policy-4.0
HTTP	rime-ice-en-ext	1075	HTTP	4.81	preserve-observation
HTTPS	rime-ice-en-ext	1078	HTTPS	4.42	preserve-observation
TCP	rime-ice-en-ext	1971	TCP	3.12	product-policy-4.0
UDP	rime-ice-en-ext	1969	UDP	2.75	product-policy-4.0
DNS	rime-ice-en-ext	758	DNS	3.24	product-policy-4.0
SSH	rime-ice-en-ext	292	SSH	3.12	product-policy-4.0
SSL	rime-ice-en-ext	1014	SSL	2.93	product-policy-4.0
TLS	rime-ice-en-ext	1967	TLS	2.85	product-policy-4.0
URL	rime-ice-en-ext	1070	URL	3.86	product-policy-4.0
URI	rime-ice-en-ext	1073	URI	3.26	product-policy-4.0
RESTful	rime-ice-en-ext	1165	RESTful		product-policy-4.0
gRPC	rime-ice-en-ext	706	gRPC		product-policy-4.0
GraphQL	rime-ice-en-ext	1228	GraphQL		product-policy-4.0
WebSocket	rime-ice-en-ext	2307	WebSocket		product-policy-4.0
WebRTC	rime-ice-en-ext	1854	WebRTC		product-policy-4.0
WebDAV	rime-ice-en-ext	1855	WebDAV		product-policy-4.0
JSON	rime-ice-en-ext	568	JSON	2.75	product-policy-4.0
