# Exact displayed word<TAB>replacement Zipf (0..9)<TAB>reason
# Replaces observed or missing evidence before the shared admission gate.
# Zero explicitly excludes; other values still need to pass ENGLISH_MIN_ZIPF.
# Applies to all existing code aliases of this exact case/spelling; creates no words.
# Curated technology admissions are product policy, not measured frequency.
# Exact displayed text	policy replacement Zipf	reason
API	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
CLI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SDK	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
IDE	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GUI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
CPU	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GPU	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SSD	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
USB	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Type-C	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
TCP	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
UDP	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
DNS	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SSH	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SSL	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
TLS	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
URL	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
URI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
RESTful	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
gRPC	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GraphQL	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
WebSocket	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
WebRTC	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
WebDAV	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
eBPF	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
JSON	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
YAML	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
XML	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
HTML	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
CSS	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SQL	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SQLite	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
PostgreSQL	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
MySQL	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
MariaDB	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
MongoDB	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Redis	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Elasticsearch	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SwiftUI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
AppKit	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
UIKit	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
SwiftData	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Xcode	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
TestFlight	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Homebrew	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
CocoaPods	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Git	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GitHub	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GitLab	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Bitbucket	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GitHub Actions	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
GitHub Copilot	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Docker	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Docker Compose	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Docker Hub	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Kubernetes	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Terraform	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Ansible	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
CI	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
DevOps	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Linux	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
Ubuntu	4.0	Product policy: admit this curated technology spelling at the shared default gate; not a measured frequency.
